"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"1/28/2026 12 a.m. PST",28196,27862,4043,-7764
CAL,"1/28/2026 1 a.m. PST",26669,26384,3746,-8851
CAL,"1/28/2026 2 a.m. PST",25715,25443,3640,-8633
CAL,"1/28/2026 3 a.m. PST",24983,24631,3695,-8611
CAL,"1/28/2026 4 a.m. PST",24660,24339,3631,-8225
CAL,"1/28/2026 5 a.m. PST",25212,24908,3755,-8326
CAL,"1/28/2026 6 a.m. PST",27008,26672,3879,-8582
CAL,"1/28/2026 7 a.m. PST",29795,29423,4859,-8001
CAL,"1/28/2026 8 a.m. PST",31439,31039,4939,-8874
CAL,"1/28/2026 9 a.m. PST",30679,30366,4422,-7049
CAL,"1/28/2026 10 a.m. PST",28731,28553,4246,-5487
CAL,"1/28/2026 11 a.m. PST",27004,26842,4389,-4760
CAL,"1/28/2026 12 p.m. PST",25744,25448,4366,-5899
CAL,"1/28/2026 1 p.m. PST",25213,24748,4204,-5403
CAL,"1/28/2026 2 p.m. PST",25314,24765,4017,-5543
CAL,"1/28/2026 3 p.m. PST",26006,25506,3877,-5744
CAL,"1/28/2026 4 p.m. PST",27417,26960,4302,-6206
CAL,"1/28/2026 5 p.m. PST",29851,29235,4501,-8807
CAL,"1/28/2026 6 p.m. PST",32415,31711,5201,-9349
CAL,"1/28/2026 7 p.m. PST",33047,32401,5362,-9215
CAL,"1/28/2026 8 p.m. PST",32471,31940,4927,-9029
CAL,"1/28/2026 9 p.m. PST",31775,31225,4808,-8904
CAL,"1/28/2026 10 p.m. PST",31066,30534,4747,-8762
CAL,"1/28/2026 11 p.m. PST",29582,28921,3959,-10025
CAL,"1/29/2026 12 a.m. PST",27848,27177,3870,-10273
CAL,"1/29/2026 1 a.m. PST",26985,24606,3915,-10131
CAL,"1/29/2026 2 a.m. PST",26047,23751,3699,-9866
CAL,"1/29/2026 3 a.m. PST",25188,22978,3593,-9917
CAL,"1/29/2026 4 a.m. PST",24871,22715,3650,-10001
CAL,"1/29/2026 5 a.m. PST",25545,23233,3679,-10124
CAL,"1/29/2026 6 a.m. PST",27046,24642,3796,-9373
CAL,"1/29/2026 7 a.m. PST",29734,27116,4502,-7960
CAL,"1/29/2026 8 a.m. PST",31320,28554,4918,-7876
CAL,"1/29/2026 9 a.m. PST",30468,27767,4843,-5439
CAL,"1/29/2026 10 a.m. PST",28560,25980,4604,-3049
CAL,"1/29/2026 11 a.m. PST",26486,24012,4477,-3209
CAL,"1/29/2026 12 p.m. PST",24810,22445,4586,-3650
